cod_apli_prod,descri_cod_apli_prod,num_cta,f_creacion,f_ultimo_pago,vlr_original,vlr_pagado,vlr_pendiente_pago,cod_trn,descri_cod_trn,porc_recuperado,dias_hasta_ultimo_pago,pago_total,sin_pago,pago_parcial
S,AHORRO,84443321151,20250211,20250411,154.08,154.08,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,59,1,0,0
S,AHORRO,85352974856,20241103,20250921,1278.25,1278.25,0.0,2107,CARGO FISCAL IVA TRASLADO,1.0,322,1,0,0
S,AHORRO,97822810913,20250501,20250625,5646.89,5646.89,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,55,1,0,0
S,AHORRO,38571076870,20241222,20250714,285.77,257.19,28.58,834,CARGO FISCAL TRANSACCIONAL,0.9,204,0,0,1
S,AHORRO,92759986619,20250222,20250901,17048.76,17048.76,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,191,1,0,0
S,AHORRO,45058872234,20250521,20250722,370.19,370.19,0.0,788,TRANSFERENCIA CANAL FISICO,1.0,62,1,0,0
S,AHORRO,30719760344,20250503,20250803,27623.59,27623.59,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,92,1,0,0
S,AHORRO,25026503559,20241230,20250716,693.88,693.88,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,198,1,0,0
S,AHORRO,23809278607,20241127,20250328,2039.71,2039.71,0.0,497,PAGO SERVICIO ELECTRONICO,1.0,121,1,0,0
S,AHORRO,97668253073,20250312,20250616,637.51,573.76,63.75,834,CARGO FISCAL TRANSACCIONAL,0.9,96,0,0,1
S,AHORRO,48150626436,20250201,20250821,1464.14,1464.14,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,201,1,0,0
S,AHORRO,15682950513,20250706,20250929,1383.44,0.0,1383.44,834,CARGO FISCAL TRANSACCIONAL,0.0,85,0,1,0
S,AHORRO,54242783600,20250106,20250107,1001.68,1001.68,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,1,1,0,0
S,AHORRO,35950903644,20250309,20250820,1495.84,1056.81,439.03,834,CARGO FISCAL TRANSACCIONAL,0.7065,164,0,0,1
S,AHORRO,29045469771,20250419,20250503,22000.35,19800.31,2200.04,834,CARGO FISCAL TRANSACCIONAL,0.9,14,0,0,1
S,AHORRO,28668914281,20250122,20250902,6873.66,6873.66,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,223,1,0,0
S,AHORRO,62111847617,20241017,20250901,3305.85,3305.85,0.0,2048,COMISION TRANSFERENCIA EXTERNA A,1.0,319,1,0,0
S,AHORRO,89925804188,20250605,20250816,300000.0,300000.0,0.0,329,DEBITO ABONO CARTERA,1.0,72,1,0,0
S,AHORRO,19884966007,20250410,20250907,5890.14,0.0,5890.14,1157,COMISION CONSULTA SALDO,0.0,150,0,1,0
S,AHORRO,36111903715,20241019,20250316,4607.31,4146.58,460.73,137,COMISION RETIRO CANAL A,0.9,148,0,0,1
S,AHORRO,53726630683,20250103,20250820,6643.8,6643.8,0.0,574,COMISION RETIRO INTERNACIONAL,1.0,229,1,0,0
S,AHORRO,93385811806,20250628,20250803,4053.05,3647.75,405.3,87,CARGO FISCAL IVA COMISION B,0.9,36,0,0,1
S,AHORRO,78409066180,20250117,20250217,877.94,877.94,0.0,176,COMISION RETIRO CORRESPONSAL B,1.0,31,1,0,0
S,AHORRO,80382339396,20241029,20241117,355.69,355.69,0.0,1705,TRANSFERENCIA BOTON DIGITAL,1.0,19,1,0,0
S,AHORRO,35011715267,20241215,20250807,4458.15,4458.15,0.0,137,COMISION RETIRO CANAL A,1.0,235,1,0,0
S,AHORRO,56585937906,20250104,20250112,6653.95,6653.95,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,8,1,0,0
S,AHORRO,82412333755,20250125,20250805,148.25,148.25,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,192,1,0,0
S,AHORRO,78940944080,20250212,20250506,3417.62,3075.86,341.76,2285,APERTURA INVERSION VIRTUAL,0.9,83,0,0,1
