cod_apli_prod,descri_cod_apli_prod,num_cta,f_creacion,f_ultimo_pago,vlr_original,vlr_pagado,vlr_pendiente_pago,cod_trn,descri_cod_trn,porc_recuperado,dias_hasta_ultimo_pago,pago_total,sin_pago,pago_parcial,prob_pago,valor_esperado_recuperar,valor_en_riesgo
S,AHORRO,84443321151,20250211,20250411,154.08,154.08,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,59,1,0,0,0.3543639945233849,0.0,0.0
S,AHORRO,85352974856,20241103,20250921,1278.25,1278.25,0.0,2107,CARGO FISCAL IVA TRASLADO,1.0,322,1,0,0,0.48429333858009704,0.0,0.0
S,AHORRO,97822810913,20250501,20250625,5646.89,5646.89,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,55,1,0,0,0.4898661135521629,0.0,0.0
S,AHORRO,38571076870,20241222,20250714,285.77,257.19,28.58,834,CARGO FISCAL TRANSACCIONAL,0.9,204,0,0,1,0.44859140658361724,12.82074240015978,15.75925759984022
S,AHORRO,92759986619,20250222,20250901,17048.76,17048.76,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,191,1,0,0,0.5511422836882699,0.0,0.0
S,AHORRO,45058872234,20250521,20250722,370.19,370.19,0.0,788,TRANSFERENCIA CANAL FISICO,1.0,62,1,0,0,0.7674742860949233,0.0,0.0
S,AHORRO,30719760344,20250503,20250803,27623.59,27623.59,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,92,1,0,0,0.5937274200464003,0.0,0.0
S,AHORRO,25026503559,20241230,20250716,693.88,693.88,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,198,1,0,0,0.5462120990024213,0.0,0.0
S,AHORRO,23809278607,20241127,20250328,2039.71,2039.71,0.0,497,PAGO SERVICIO ELECTRONICO,1.0,121,1,0,0,0.9075668026830194,0.0,0.0
S,AHORRO,97668253073,20250312,20250616,637.51,573.76,63.75,834,CARGO FISCAL TRANSACCIONAL,0.9,96,0,0,1,0.4368819510992452,27.85122438257688,35.89877561742312
S,AHORRO,48150626436,20250201,20250821,1464.14,1464.14,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,201,1,0,0,0.5706876478074006,0.0,0.0
S,AHORRO,15682950513,20250706,20250929,1383.44,0.0,1383.44,834,CARGO FISCAL TRANSACCIONAL,0.0,85,0,1,0,0.4929065784341832,681.9066768689864,701.5333231310136
S,AHORRO,54242783600,20250106,20250107,1001.68,1001.68,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,1,1,0,0,0.5083379404977841,0.0,0.0
S,AHORRO,35950903644,20250309,20250820,1495.84,1056.81,439.03,834,CARGO FISCAL TRANSACCIONAL,0.7065,164,0,0,1,0.4903108480757964,215.2611716307169,223.76882836928309
S,AHORRO,29045469771,20250419,20250503,22000.35,19800.31,2200.04,834,CARGO FISCAL TRANSACCIONAL,0.9,14,0,0,1,0.49155777713373316,1081.4467720052983,1118.5932279947017
S,AHORRO,28668914281,20250122,20250902,6873.66,6873.66,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,223,1,0,0,0.5348352249538777,0.0,0.0
S,AHORRO,62111847617,20241017,20250901,3305.85,3305.85,0.0,2048,COMISION TRANSFERENCIA EXTERNA A,1.0,319,1,0,0,0.6102220888638616,0.0,0.0
S,AHORRO,89925804188,20250605,20250816,300000.0,300000.0,0.0,329,DEBITO ABONO CARTERA,1.0,72,1,0,0,0.8704358225108932,0.0,0.0
S,AHORRO,19884966007,20250410,20250907,5890.14,0.0,5890.14,1157,COMISION CONSULTA SALDO,0.0,150,0,1,0,0.36653599080112514,2158.9483008573393,3731.1916991426606
S,AHORRO,36111903715,20241019,20250316,4607.31,4146.58,460.73,137,COMISION RETIRO CANAL A,0.9,148,0,0,1,0.44187251140505807,203.5839221796524,257.14607782034756
S,AHORRO,53726630683,20250103,20250820,6643.8,6643.8,0.0,574,COMISION RETIRO INTERNACIONAL,1.0,229,1,0,0,0.5264972190569114,0.0,0.0
S,AHORRO,93385811806,20250628,20250803,4053.05,3647.75,405.3,87,CARGO FISCAL IVA COMISION B,0.9,36,0,0,1,0.48838485231696055,197.94238064406412,207.35761935593592
S,AHORRO,78409066180,20250117,20250217,877.94,877.94,0.0,176,COMISION RETIRO CORRESPONSAL B,1.0,31,1,0,0,0.41236388100983723,0.0,0.0
S,AHORRO,80382339396,20241029,20241117,355.69,355.69,0.0,1705,TRANSFERENCIA BOTON DIGITAL,1.0,19,1,0,0,0.6761803640502377,0.0,0.0
S,AHORRO,35011715267,20241215,20250807,4458.15,4458.15,0.0,137,COMISION RETIRO CANAL A,1.0,235,1,0,0,0.4492488850314317,0.0,0.0
S,AHORRO,56585937906,20250104,20250112,6653.95,6653.95,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,8,1,0,0,0.5486184519709093,0.0,0.0
S,AHORRO,82412333755,20250125,20250805,148.25,148.25,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,192,1,0,0,0.4652523494515244,0.0,0.0
S,AHORRO,78940944080,20250212,20250506,3417.62,3075.86,341.76,2285,APERTURA INVERSION VIRTUAL,0.9,83,0,0,1,0.5953283883666226,203.45943000817692,138.30056999182307
S,AHORRO,61629564269,20241230,20250120,2345.47,2110.92,234.55,834,CARGO FISCAL TRANSACCIONAL,0.9,21,0,0,1,0.48528712798242046,113.82409586827673,120.72590413172328
S,AHORRO,86627782134,20250629,20250802,3187.36,3187.36,0.0,1157,COMISION CONSULTA SALDO,1.0,34,1,0,0,0.4858694976359256,0.0,0.0
S,AHORRO,86682309522,20250311,20250514,280.22,280.22,0.0,1705,TRANSFERENCIA BOTON DIGITAL,1.0,64,1,0,0,0.7785572296436166,0.0,0.0
S,AHORRO,51139249706,20250410,20250518,3259.68,3259.68,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,38,1,0,0,0.4874945398952971,0.0,0.0
S,AHORRO,37106417638,20250109,20250810,2831.48,2548.33,283.15,176,COMISION RETIRO CORRESPONSAL B,0.9,213,0,0,1,0.42108001471427253,119.22880616634626,163.92119383365372
S,AHORRO,82947584327,20241204,20241214,2123.66,2123.66,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,10,1,0,0,0.49168223237331704,0.0,0.0
S,AHORRO,54440385719,20250404,20250420,1382.34,1382.34,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,16,1,0,0,0.4929065784341832,0.0,0.0
S,AHORRO,60668093839,20250121,20250826,862.72,862.72,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,217,1,0,0,0.446636118530104,0.0,0.0
S,AHORRO,53364452224,20250309,20250703,41755.45,4285.89,37469.56,834,CARGO FISCAL TRANSACCIONAL,0.1026,116,0,0,1,0.29297694882875336,10977.717362755902,26491.842637244095
S,AHORRO,32843913874,20241108,20250225,19675.99,19675.99,0.0,2048,COMISION TRANSFERENCIA EXTERNA A,1.0,109,1,0,0,0.6666143073232753,0.0,0.0
S,AHORRO,98517471438,20250323,20250610,87832.47,87832.47,0.0,497,PAGO SERVICIO ELECTRONICO,1.0,79,1,0,0,0.8289617845005637,0.0,0.0
S,AHORRO,59568389609,20241019,20250329,22227.01,16179.36,6047.65,834,CARGO FISCAL TRANSACCIONAL,0.7279,161,0,0,1,0.49155777713373316,2972.769390882821,3074.8806091171787
S,AHORRO,39052250494,20241103,20250601,28129.34,28129.34,0.0,2106,COMISION TRANSFERENCIA EXTERNA B,1.0,210,1,0,0,0.7932103176365444,0.0,0.0
S,AHORRO,39661033076,20250209,20250405,1331.77,1331.77,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,55,1,0,0,0.5703437088323235,0.0,0.0
S,AHORRO,74182945575,20241112,20241201,539.85,539.85,0.0,1787,PAGO PUNTO EXTERNO,1.0,19,1,0,0,0.4589808378946635,0.0,0.0
S,AHORRO,77808414969,20250323,20250703,527.54,527.54,0.0,1734,CARGO MORA OBLIGACION,1.0,102,1,0,0,0.47708066929479187,0.0,0.0
S,AHORRO,97190182142,20250610,20250716,1170.4,0.0,1170.4,1157,COMISION CONSULTA SALDO,0.0,36,0,1,0,0.30703866431088433,359.35805270945906,811.0419472905411
S,AHORRO,95976845147,20241110,20250906,1419.07,1419.07,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,300,1,0,0,0.4929065784341832,0.0,0.0
S,AHORRO,93796695131,20250409,20250724,2443.06,2443.06,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,106,1,0,0,0.48528712798242046,0.0,0.0
S,AHORRO,67367762459,20250423,20250717,468.97,468.97,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,85,1,0,0,0.484169755607141,0.0,0.0
S,AHORRO,45998971782,20250128,20250530,595.69,595.69,0.0,2106,COMISION TRANSFERENCIA EXTERNA B,1.0,122,1,0,0,0.7595906128904543,0.0,0.0
S,AHORRO,22624164094,20250609,20250815,6487.36,6487.36,0.0,2107,CARGO FISCAL IVA TRASLADO,1.0,67,1,0,0,0.4921258874765187,0.0,0.0
S,AHORRO,38365468984,20250522,20250618,1041.07,1041.07,0.0,2106,COMISION TRANSFERENCIA EXTERNA B,1.0,27,1,0,0,0.38548140442647943,0.0,0.0
S,AHORRO,19877333447,20250207,20250512,913.43,0.0,913.43,1517,COBRO SERVICIO TRANSPORTE,0.0,94,0,1,0,0.5508615324642409,503.1734495988115,410.25655040118846
S,AHORRO,53220609322,20250101,20250630,719.86,647.87,71.99,2107,CARGO FISCAL IVA TRASLADO,0.9,180,0,0,1,0.47826294587830603,34.43014947377925,37.55985052622074
S,AHORRO,85416830563,20241023,20250629,7790.26,7790.26,0.0,87,CARGO FISCAL IVA COMISION B,1.0,249,1,0,0,0.4882582311778469,0.0,0.0
S,AHORRO,69204277348,20241231,20250112,1239.73,1239.73,0.0,1157,COMISION CONSULTA SALDO,1.0,12,1,0,0,0.32301983566985243,0.0,0.0
S,AHORRO,15433220927,20250628,20250915,1116.18,1116.18,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,79,1,0,0,0.4894810648153403,0.0,0.0
S,AHORRO,17609249256,20250623,20250706,271.54,271.54,0.0,75,OPERACION CAMBIO DIVISAS,1.0,13,1,0,0,0.7801927949564597,0.0,0.0
S,AHORRO,25065785352,20241103,20250515,4948.28,4948.28,0.0,1878,PAGO PLATAFORMA ELECTRONICA,1.0,193,1,0,0,0.4836394382401364,0.0,0.0
S,AHORRO,84267650406,20250214,20250503,1175.95,0.0,1175.95,627,TRANSFERENCIA BILLETERA A,0.0,78,0,1,0,0.4776868146912673,561.7358097361957,614.2141902638043
S,AHORRO,99007958746,20250505,20250912,6373.0,6373.0,0.0,371,COMISION CANAL TELEFONICO,1.0,130,1,0,0,0.5306605927843122,0.0,0.0
S,AHORRO,47041038338,20241202,20241220,111.02,99.92,11.1,2231,PAGO PROGRAMADO,0.9,18,0,0,1,0.4232168793382668,4.6977073606547615,6.402292639345238
S,AHORRO,98997524099,20250603,20250612,767.01,767.01,0.0,2106,COMISION TRANSFERENCIA EXTERNA B,1.0,9,1,0,0,0.7543305515328772,0.0,0.0
S,AHORRO,86916394339,20241025,20250114,7247.49,7247.49,0.0,2010,TRANSFERENCIA BANCA MOVIL,1.0,81,1,0,0,0.5235402637596771,0.0,0.0
S,AHORRO,24227752136,20250120,20250612,1164.41,1164.41,0.0,627,TRANSFERENCIA BILLETERA A,1.0,143,1,0,0,0.4732393984952152,0.0,0.0
S,AHORRO,77206822050,20241121,20250101,422.16,422.16,0.0,1554,DEBITO OBLIGACION FINANCIERA,1.0,41,1,0,0,0.7674742860949233,0.0,0.0
S,AHORRO,64395965979,20241128,20241201,6246.0,0.0,6246.0,365,PAGO CANAL QR,0.0,3,0,1,0,0.5306605927843122,3314.5060625308142,2931.4939374691858
S,AHORRO,59788745499,20250104,20250807,1302.78,1302.78,0.0,137,COMISION RETIRO CANAL A,1.0,215,1,0,0,0.3643601573702337,0.0,0.0
S,AHORRO,69498393998,20241028,20250905,1588.6,1429.74,158.86,176,COMISION RETIRO CORRESPONSAL B,0.9,312,0,0,1,0.42731326905857825,67.88298592264574,90.97701407735427
S,AHORRO,27152228361,20241119,20250604,7463.87,7463.87,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,197,1,0,0,0.5458163664224834,0.0,0.0
S,AHORRO,95008148277,20250114,20250505,583.97,583.97,0.0,2106,COMISION TRANSFERENCIA EXTERNA B,1.0,111,1,0,0,0.7609162881216814,0.0,0.0
S,AHORRO,40586882010,20250216,20250709,346.04,346.04,0.0,176,COMISION RETIRO CORRESPONSAL B,1.0,143,1,0,0,0.7185036470411896,0.0,0.0
S,AHORRO,35178431407,20250319,20250613,859.82,859.82,0.0,497,PAGO SERVICIO ELECTRONICO,1.0,86,1,0,0,0.6944286389801998,0.0,0.0
S,AHORRO,32268727222,20250323,20250714,15432.26,15432.26,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,113,1,0,0,0.732503968042826,0.0,0.0
S,AHORRO,15578685000,20241021,20241125,615.91,615.91,0.0,87,CARGO FISCAL IVA COMISION B,1.0,35,1,0,0,0.5009916128950715,0.0,0.0
D,CORRIENTE,70988709976,20250222,20250920,75.38,75.38,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,210,1,0,0,0.8098446221911013,0.0,0.0
S,AHORRO,42855496188,20250517,20250909,166.81,166.81,0.0,2287,RETIRO CANAL B,1.0,115,1,0,0,0.778938742706269,0.0,0.0
S,AHORRO,48660074769,20250712,20251007,1268.02,1268.02,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,87,1,0,0,0.4929065784341832,0.0,0.0
S,AHORRO,99116282400,20250105,20250728,1867.93,1867.93,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,204,1,0,0,0.5694166544832836,0.0,0.0
S,AHORRO,38375846892,20241121,20250721,1094.59,1094.59,0.0,2106,COMISION TRANSFERENCIA EXTERNA B,1.0,242,1,0,0,0.49068930155105706,0.0,0.0
S,AHORRO,84132736036,20250325,20250726,607.59,607.59,0.0,176,COMISION RETIRO CORRESPONSAL B,1.0,123,1,0,0,0.7118365460505768,0.0,0.0
S,AHORRO,59732949239,20241125,20250927,2652.4,2652.4,0.0,497,PAGO SERVICIO ELECTRONICO,1.0,306,1,0,0,0.9075668026830194,0.0,0.0
S,AHORRO,21254199574,20250112,20250928,507.19,507.19,0.0,627,TRANSFERENCIA BILLETERA A,1.0,259,1,0,0,0.5575600931669602,0.0,0.0
S,AHORRO,32228459035,20250116,20250320,2354.68,0.0,2354.68,1517,COBRO SERVICIO TRANSPORTE,0.0,63,0,1,0,0.5266346612149744,1240.0561040696757,1114.6238959303241
S,AHORRO,19320471201,20241022,20250222,2026.3,2026.3,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,123,1,0,0,0.49168223237331704,0.0,0.0
S,AHORRO,31582281894,20250303,20250518,657.54,657.54,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,76,1,0,0,0.5505438274974427,0.0,0.0
S,AHORRO,88769994000,20250222,20250411,10984.26,8274.13,2710.13,1517,COBRO SERVICIO TRANSPORTE,0.7533,48,0,0,1,0.5129942815769805,1390.2811923302222,1319.848807669778
S,AHORRO,82810718353,20250329,20250913,489.48,489.48,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,168,1,0,0,0.4828682903426079,0.0,0.0
S,AHORRO,61895435266,20250705,20250803,465.44,465.44,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,29,1,0,0,0.5625673666222115,0.0,0.0
S,AHORRO,34104778164,20250429,20250910,15590.95,0.0,15590.95,2106,COMISION TRANSFERENCIA EXTERNA B,0.0,134,0,1,0,0.30884273529571243,4815.151643858688,10775.798356141313
S,AHORRO,68917881289,20241019,20250704,15090.4,15090.4,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,258,1,0,0,0.5763049331310302,0.0,0.0
S,AHORRO,64227378553,20250412,20250415,1441.13,0.0,1441.13,1157,COMISION CONSULTA SALDO,0.0,3,0,1,0,0.37811979014308433,544.9197731689031,896.2102268310969
S,AHORRO,10806676743,20250225,20250621,3292.33,3292.33,0.0,176,COMISION RETIRO CORRESPONSAL B,1.0,116,1,0,0,0.41644218437000413,0.0,0.0
S,AHORRO,36659741028,20250706,20251002,756.8,756.8,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,88,1,0,0,0.552044069147911,0.0,0.0
S,AHORRO,50513841518,20241102,20250426,9373.91,3577.69,5796.22,1517,COBRO SERVICIO TRANSPORTE,0.3817,175,0,0,1,0.4963329449454109,2876.85494215149,2919.3650578485103
S,AHORRO,60560408704,20241220,20250718,174.73,174.73,0.0,1642,CXC DEPOSITO CANAL,1.0,210,1,0,0,0.778938742706269,0.0,0.0
S,AHORRO,42228797009,20241016,20250103,7212.9,2189.78,5023.12,1833,CARGO FISCAL IVA B,0.3036,79,0,0,1,0.5235402637596771,2629.8055696965093,2393.3144303034906
S,AHORRO,82642926292,20250611,20250930,1462.18,1462.18,0.0,137,COMISION RETIRO CANAL A,1.0,111,1,0,0,0.35376561400609313,0.0,0.0
S,AHORRO,51425659334,20250622,20250718,990.9,990.9,0.0,834,CARGO FISCAL TRANSACCIONAL,1.0,26,1,0,0,0.5083379404977841,0.0,0.0
S,AHORRO,56387104636,20250427,20250604,1831.36,1831.36,0.0,497,PAGO SERVICIO ELECTRONICO,1.0,38,1,0,0,0.876456524783526,0.0,0.0
S,AHORRO,70425315358,20250324,20250830,319.29,287.36,31.93,1517,COBRO SERVICIO TRANSPORTE,0.9,159,0,0,1,0.5512570810698485,17.601638598560264,14.328361401439738
S,AHORRO,60132847265,20241204,20250428,1988.38,1988.38,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,145,1,0,0,0.5694166544832836,0.0,0.0
S,AHORRO,15824883372,20241214,20250907,10196.1,10196.1,0.0,1517,COBRO SERVICIO TRANSPORTE,1.0,267,1,0,0,0.5129942815769805,0.0,0.0
